type	pro_type	time	N	value	sd	se	ci	ID	parameter	ID_type	value	sd	se	ci
PR	NATL1A	18	3	2.25E+08	1.48E+07	8.54E+06	3.68E+07	NATL1A_PR_18	pro	NATL1A_PR	8.351042477	0.029184621	0.016849749	0.072498618
PR	NATL1A	21	3	1.75E+08	2.44E+07	1.41E+07	6.07E+07	NATL1A_PR_21	pro	NATL1A_PR	8.239800013	0.05868039	0.033879139	0.145770171
PR	NATL1A	24	3	2.47E+08	9.11E+06	5.26E+06	2.26E+07	NATL1A_PR_24	pro	NATL1A_PR	8.391763708	0.015876426	0.009166259	0.039439229
PR	NATL1A	30	3	1.95E+08	1.56E+07	8.98E+06	3.86E+07	NATL1A_PR_30	pro	NATL1A_PR	8.288170287	0.035319098	0.020391491	0.087737503
PR	NATL1A	33	3	1.71E+08	7.18E+06	4.14E+06	1.78E+07	NATL1A_PR_33	pro	NATL1A_PR	8.232793939	0.018342285	0.010589923	0.045564761
PR	NATL1A	36	3	1.76E+08	1.90E+07	1.10E+07	4.72E+07	NATL1A_PR_36	pro	NATL1A_PR	8.243726338	0.047061686	0.027171077	0.11690771
PR	NATL1A	42	3	1.69E+08	4.50E+06	2.60E+06	1.12E+07	NATL1A_PR_42	pro	NATL1A_PR	8.228980865	0.011611488	0.006703896	0.028844535
PR	NATL1A	45	3	1.57E+08	1.98E+07	1.14E+07	4.91E+07	NATL1A_PR_45	pro	NATL1A_PR	8.194227451	0.054380691	0.031396707	0.135089125
P	NATL1A	0	3	3.07E+06	7.62E+05	4.40E+05	1.89E+06	NATL1A_P_0	Bac	NATL1A_P	6.478650019	0.102933741	0.059428823	0.255701589
P	NATL1A	3	3	-6.49E+06	3.99E+06	2.30E+06	9.91E+06	NATL1A_P_3	Bac	NATL1A_P	6.87497124	0.136767778	0.078962913	0.339749995
P	NATL1A	6	3	7.74E+06	2.28E+06	1.31E+06	5.65E+06	NATL1A_P_6	Bac	NATL1A_P	6.636471772	0.814643736	0.57604011	7.319283574
P	NATL1A	9	3	-6.72E+06	5.67E+06	3.27E+06	1.41E+07	NATL1A_P_9	Bac	NATL1A_P	7.290101609	NA	NA	NA
P	NATL1A	12	3	-2.50E+07	4.29E+06	2.48E+06	1.07E+07	NATL1A_P_12	Bac	NATL1A_P	7.280887264	0.122960922	0.086946502	1.104760056
P	NATL1A	14	3	-4.98E+07	3.00E+07	1.73E+07	7.46E+07	NATL1A_P_14	Bac	NATL1A_P	7.850731157	0.184560885	0.106556276	0.458474653
P	NATL1A	18	3	4.39E+06	1.07E+07	6.17E+06	2.65E+07	NATL1A_P_18	Bac	NATL1A_P	7.82957082	0.374552279	0.216247859	0.930439442
P	NATL1A	21	3	4.32E+06	1.35E+07	7.82E+06	3.36E+07	NATL1A_P_21	Bac	NATL1A_P	8.169863301	0.027705597	0.015995834	0.068824519
P	NATL1A	24	3	4.69E+06	2.59E+07	1.50E+07	6.43E+07	NATL1A_P_24	Bac	NATL1A_P	8.013658301	0.086647487	0.05002595	0.215244289
P	NATL1A	30	3	7.49E+07	2.79E+07	1.61E+07	6.94E+07	NATL1A_P_30	Bac	NATL1A_P	8.26081305	0.080281735	0.05676776	0.721302775
P	NATL1A	33	3	8.24E+07	4.99E+07	2.88E+07	1.24E+08	NATL1A_P_33	Bac	NATL1A_P				
P	NATL1A	36	3	1.48E+08	9.58E+06	5.53E+06	2.38E+07	NATL1A_P_36	Bac	NATL1A_P				
P	NATL1A	42	3	1.05E+08	2.11E+07	1.22E+07	5.23E+07	NATL1A_P_42	Bac	NATL1A_P				
P	NATL1A	45	2	1.84E+08	3.38E+07	2.39E+07	3.04E+08	NATL1A_P_45	Bac	NATL1A_P				
PA	NATL1A	0	3	4.13E+06	1.42E+06	8.19E+05	3.52E+06	NATL1A_PA_0	Bac	NATL1A_PA	6.595135934	0.171320697	0.098912051	0.425584205
PA	NATL1A	3	3	4.22E+06	8.21E+05	4.74E+05	2.04E+06	NATL1A_PA_3	Bac	NATL1A_PA	6.619744349	0.080767872	0.046631353	0.200638517
PA	NATL1A	6	3	5.10E+06	4.04E+06	2.33E+06	1.00E+07	NATL1A_PA_6	Bac	NATL1A_PA	6.621308111	0.328185616	0.189478054	0.815258266
PA	NATL1A	9	3	-1.20E+07	5.93E+06	3.42E+06	1.47E+07	NATL1A_PA_9	Bac	NATL1A_PA	8.05125013	0.072637103	0.041937051	0.180440566
PA	NATL1A	12	3	1.14E+08	1.94E+07	1.12E+07	4.81E+07	NATL1A_PA_12	Bac	NATL1A_PA	7.081806472	0.908464342	0.524502132	2.256750531
PA	NATL1A	14	3	2.75E+07	2.38E+07	1.37E+07	5.91E+07	NATL1A_PA_14	Bac	NATL1A_PA	6.566301592	0.479158467	0.27664227	1.190295618
PA	NATL1A	18	3	-7.28E+07	1.34E+07	7.76E+06	3.34E+07	NATL1A_PA_18	Bac	NATL1A_PA	7.491638106	NA	NA	NA
PA	NATL1A	21	3	5.33E+06	5.12E+06	2.96E+06	1.27E+07	NATL1A_PA_21	Bac	NATL1A_PA	8.124242013	0.061318384	0.035402186	0.152323311
PA	NATL1A	24	3	6.98E+06	2.14E+07	1.23E+07	5.31E+07	NATL1A_PA_24	Bac	NATL1A_PA	7.846113833	0.074423332	0.042968331	0.184877805
PA	NATL1A	30	3	1.34E+08	1.81E+07	1.05E+07	4.50E+07	NATL1A_PA_30	Bac	NATL1A_PA	8.184524087	0.030491658	0.017604367	0.075745477
