sample.id	Name	Title	Time	Type	Name2	Name1	Name3	name	X0	pro	total	bac	ph	pl	pt	Pro	Total	Bac	Ph	Pl	Pt	time	type	pro_type	vbr	vbr2	type.1	hooh	type1
X10	P12_2	P	12	P_2	2	P_2	P12	12-N4	146	174693295.6	153183333.3	-21509962.3	NA	NA	NA	8.242276238	8.185211516	#NUM!	#NUM!	#NUM!	#NUM!	12	P	NATL1A	NA	#NUM!	NATL1A_P	7.681492914	P
X17	P13_2	P	12	P_2	2	P_3	P13	13-N4	147	155589667.2	131920175.4	-23669491.79	NA	NA	NA	8.191980752	8.12031122	#NUM!	#NUM!	#NUM!	#NUM!	12	P	NATL1A	NA	#NUM!	NATL1A_P	6.403374571	P
X24	P21_2	PC	12	PC_2	2	P_1	P21	21-N4	148	2013610.775	14845818.71	12832207.94	1066208.52	6749797.68	7816006.2	6.303975526	7.171604153	7.108301388	6.027842149	6.829290755	6.892984895	12	PC	NATL1A	3.881587394	0.589009369	NATL1A_PC	6.972137458	PC
X31	P22_2	PC	12	PC_2	2	P_2	P22	22-N4	149	1953428.824	10460292.4	8506863.574	1103420.626	7835265.09	8938685.716	6.290797592	7.019543825	6.929769468	6.042741098	6.894053695	6.951273668	12	PC	NATL1A	4.57589527	0.660476076	NATL1A_PC	7.06160537	PC
X38	P23_2	PC	12	PC_2	2	P_3	P23	23-N4	150	1599514.783	10197456.14	8597941.357	925434.72	5055615.6	5981050.32	6.203988258	7.008491846	6.934394479	5.966345789	6.703774045	6.776777456	12	PC	NATL1A	3.739290429	0.572789198	NATL1A_PC	7.214979343	PC
X45	P31_2	PAC	12	PAC_2	2	P_1	P31	31-N4	151	2278080.082	16868771.93	14590691.85	963322.1305	5883844.434	6847166.565	6.357568987	7.227083466	7.164075885	5.983771537	6.769661182	6.835510893	12	PAC	NATL1A	3.005674217	0.477941906	NATL1A_PAC	7.560071495	PAC
X52	P32_2	PAC	12	PAC_2	2	P_2	P32	32-N4	152	2365316.304	18115029.24	15749712.94	1013571.36	9217623.6	10231194.96	6.373889225	7.258039039	7.197272642	6.00585433	6.96461897	7.00992636	12	PAC	NATL1A	4.325508155	0.636037135	NATL1A_PAC	7.029652816	PAC
X59	P33_2	PAC	12	PAC_2	2	P_3	P33	33-N4	153	2205199.187	16862865.5	14657666.31	2052560.732	9431510.453	11484071.19	6.343447824	7.226931376	7.166064831	6.312296016	6.97458125	7.060095876	12	PAC	NATL1A	5.207725113	0.716648052	NATL1A_PAC	8.167177637	PAC
X66	P41_2	PR	12	PR_2	2	P_1	P41	41-N4	154	173865103.7	249399122.8	75534019.15	7564329.568	136243335.9	143807665.5	8.240212424	8.396894922	7.878142594	6.878770442	8.134315269	8.157782036	12	PR	NATL1A	1.903879432	0.279639442	NATL1A_PR	8.346114414	PR
X73	P42_2	PR	12	PR_2	2	P_2	P42	42-N4	155	157356476.8	255379386	98022909.18	1726375.216	24507817.77	26234192.99	8.196884623	8.407185838	7.991327588	6.237135193	7.389304643	7.418867709	12	PR	NATL1A	0.267633283	-0.572459879	NATL1A_PR	6.774028577	PR
X80	P43_2	PR	12	PR_2	2	P_3	P43	43-N4	156	159675414.3	201955701.8	42280287.41	1637591.481	26809450.08	28447041.56	8.203238052	8.305256119	7.626137931	6.21420557	7.428287906	7.454037107	12	PR	NATL1A	0.67282044	-0.172100824	NATL1A_PR	6.895449995	PR
X87	P51_2	PA	12	PA_2	2	P_1	P51	51-N4	157	98278781.99	233097368.4	134818586.4	NA	NA	NA	7.992459765	8.367537371	8.129749769	#NUM!	#NUM!	#NUM!	12	PA	NATL1A	NA	#NUM!	NATL1A_PA	7.879600843	PA
X94	P52_2	PA	12	PA_2	2	P_2	P52	52-N4	158	114400919.3	223440350.9	109039431.6	NA	NA	NA	8.058429514	8.349161605	8.037583579	#NUM!	#NUM!	#NUM!	12	PA	NATL1A	NA	#NUM!	NATL1A_PA	6.86988719	PA
X101	P53_2	PA	12	PA_2	2	P_3	P53	53-N4	159	132455504.5	229376315.8	96920811.29	NA	NA	NA	8.122070011	8.360548573	7.986417041	#NUM!	#NUM!	#NUM!	12	PA	NATL1A	NA	#NUM!	NATL1A_PA	9.918201204	PA
X108	P61_2	PAR	12	PAR_2	2	P_1	P61	61-N4	160	169282441.3	259454824.6	90172383.22	795678	37829388.4	38625066.4	8.228611914	8.414061751	7.955073548	5.90073735	7.57782932	7.586869239	12	PAR	NATL1A	0.428346962	-0.368204309	NATL1A_PAR	6.224437794	PAR
X115	P62_2	PAR	12	PAR_2	2	P_2	P62	62-N4	161	141123913.9	230572368.4	89448454.5	1259704.884	52770349.14	54030054.02	8.149600613	8.362807261	7.951572841	6.100268813	7.722389968	7.732635402	12	PAR	NATL1A	0.604035635	-0.218937439	NATL1A_PAR	5.987985658	PAR
X122	P63_2	PAR	12	PAR_2	2	P_3	P63	63-N4	162	138308061.2	193140350.9	54832289.7	1176255.075	53221723.13	54397978.2	8.140847493	8.285873016	7.739036382	6.07050151	7.726088931	7.735582759	12	PAR	NATL1A	0.992079275	-0.003453623	NATL1A_PAR	8.473926534	PAR
X4	P11_3	P	18	P_3	3	P_1	P11	11-N6	217	203597195.8	204746491.2	1149295.382	NA	NA	NA	8.308771792	8.311216468	6.060431662	#NUM!	#NUM!	#NUM!	18	P	NATL1A	NA	#NUM!	NATL1A_P	5.943714342	P
X11	P12_3	P	18	P_3	3	P_2	P12	12-N6	218	199124959.1	215437134.5	16312175.37	NA	NA	NA	8.2991257	8.333320564	7.212511882	#NUM!	#NUM!	#NUM!	18	P	NATL1A	NA	#NUM!	NATL1A_P	6.152343827	P
X18	P13_3	P	18	P_3	3	P_3	P13	13-N6	219	228829444.9	224533040.9	-4296403.995	NA	NA	NA	8.359511907	8.351280258	#NUM!	#NUM!	#NUM!	#NUM!	18	P	NATL1A	NA	#NUM!	NATL1A_P	5.073685757	P
X25	P21_3	PC	18	PC_3	3	P_1	P21	21-N6	220	618935.4754	9627485.38	9008549.905	2295606.584	19778238.1	22073844.69	5.791645376	6.983512868	6.954654889	6.360897462	7.296187601	7.343877983	18	PC	NATL1A	35.66420987	1.552232607	NATL1A_PC	5.277876247	PC
X32	P22_3	PC	18	PC_3	3	P_2	P22	22-N6	221	561790.2285	9184502.924	8622712.695	2081343.091	12719997.07	14801340.17	5.749574181	6.963055657	6.935643916	6.318343676	7.104487011	7.17030104	18	PC	NATL1A	26.34673836	1.420726859	NATL1A_PC	5.77947415	PC
X39	P23_3	PC	18	PC_3	3	P_3	P23	23-N6	222	398912.4719	8204035.088	7805122.616	1030301	13081762.4	14112063.4	5.600877615	6.914027509	6.89237973	6.012964121	7.116666257	7.149590519	18	PC	NATL1A	35.37634041	1.548712904	NATL1A_PC	5.197975649	PC
X46	P31_3	PAC	18	PAC_3	3	P_1	P31	31-N6	223	672905.9863	15403976.61	14731070.62	1355760.399	20171516.21	21527276.61	5.827954392	7.18763285	7.168234312	6.132182944	7.304738544	7.332989091	18	PAC	NATL1A	31.99150706	1.505034699	NATL1A_PAC	5.020419133	PAC
X53	P32_3	PAC	18	PAC_3	3	P_2	P32	32-N6	224	583185.1881	14367397.66	13784212.47	2073731.327	24976533.95	27050265.27	5.765806485	7.157378112	7.139381959	6.316752488	7.39753217	7.432171528	18	PAC	NATL1A	46.38366307	1.666365043	NATL1A_PAC	5.091441739	PAC
